idx,claim_type,qwen_verdict,chain_consistent,类别,建议操作,问题说明,claim,factor,effect,cell_line,evidence_source,direction
11,mechanistic,unsupported,True,方向/主客体反,修正,"证据是'promoter对enhancer必需'，claim写成'enhancer对promoter必需'，主客体颠倒","文献证据表明，在未指定细胞系的实验中，因子enhancer对promoter活性是必需的（required_for）；机制上，Promoter activity may be necessary but not sufficient for enhancer function.（来源：PMID 41617689）。",enhancer,required_for,not_specified,PubMed 41617689,required_for_activity
14,mechanistic,unsupported,True,过度泛化,复核降级/改写,"证据'单EGR-1 motif决定CSF1R激活'，泛化为enhancer-promoter interaction必需","文献证据表明，在未指定细胞系的实验中，因子EGR-1 binding motif对enhancer-promoter interaction活性是必需的（required_for）；机制上，A single EGR-1 binding motif dictates activation of CSF1R.（来源：PMID 41538316）。",EGR-1 binding motif,required_for,not_specified,PubMed 41538316,required_for_activity
28,mechanistic,unsupported,True,过度泛化,复核降级/改写,"证据'靶向激活促AML分化'，泛化为增强cis-regulatory element活性","文献证据表明，在未指定细胞系的实验中，因子targeted activation of this regulatory element增强（increases）cis-regulatory element活性；机制上，The targeted activation of this regulatory element promotes differentiation of these aggres",targeted activation of this regulatory element,increases,not_specified,PubMed 40991835,increases_activity
34,mechanistic,unsupported,True,过度泛化,复核降级/改写,"证据'FOXP4转录激活CYP26B1/MYC'，泛化为增强promoter活性","文献证据表明，在未指定细胞系的实验中，因子FOXP4增强（increases）promoter活性；机制上，FOXP4 enhanced ESCC susceptibility and tumor growth by transcriptionally activating CYP26B1 and MYC.（来源：PMID 40228145）。",FOXP4,increases,not_specified,PubMed 40228145,increases_activity
43,mechanistic,unsupported,True,过度泛化,复核降级/改写,"证据'QTL影响TF结合预测'，泛化为SPI1/GABPB/STAT3调节enhancer","文献证据表明，在未指定细胞系的实验中，因子SPI1, GABPB and STAT3调节（modulates）enhancer活性（方向依赖上下文）；机制上，Many detected QTLs influence the predicted binding of myeloid transcription factors, including SPI1, GABPB and STAT3.（来源：","SPI1, GABPB and STAT3",modulates,not_specified,PubMed 39870618,modulates_activity
54,mechanistic,unsupported,True,证据间接,复核降级/改写,"证据'LEF1敲低增强炎症反应/ROS'，未直接说明LEF1对promoter必需","文献证据表明，在未指定细胞系的实验中，因子LEF1对promoter活性是必需的（required_for）；机制上，LEF1 knockdown enhanced inflammatory responses and ROS production in vitro, indicating that LEF1 is required for the repression of inflammato",LEF1,required_for,not_specified,PubMed 40918098,required_for_activity
57,design_rule,unsupported,False,推理链矛盾,修正chain,"design_rule：chain写'原始发现: increases'，但建议是'避免(负相关)'，方向自相矛盾","设计建议（文献增强）：在设计未指定细胞系的promoter序列时，应避免引入DNA methylation相关特征，因其与高活性负相关（来源：PMID 40918098）。",DNA methylation,decreases,not_specified,PubMed 40918098,decreases_activity
86,mechanistic,unsupported,True,Qwen误判-可放行,保留,"证据'甲基化耗竭→超激活'⇒存在时抑制，loss-of-function逻辑模型未转过弯","文献证据表明，在未指定细胞系的实验中，因子H3K27me3降低（decreases）cis-regulatory element活性；机制上，H3K27 methylation is selectively depleted from primed GBP genes, facilitating hyperactivation.（来源：PMID 40186025）。",H3K27me3,decreases,not_specified,PubMed 40186025,decreases_activity
109,mechanistic,unsupported,True,Qwen误判-可放行,保留,"证据'BCL11A不结合γ-globin启动子'恰好支持no_effect","文献证据表明，在未指定细胞系的实验中，因子BCL11A对promoter活性无显著影响（no_effect）；机制上，BCL11A does not bind to the γ-globin promoters at statistically significant frequency, while TR4 does.（来源：PMID 39393056）。",BCL11A,no_effect,not_specified,PubMed 39393056,no_effect
137,mechanistic,unsupported,True,Qwen误判-可放行,保留,"证据'ETO2 loss→活性↑'⇒ETO2存在→降低","文献证据表明，在未指定细胞系的实验中，因子ETO2降低（decreases）enhancer活性；机制上，Loss of ETO2 leads to increased enhancer activity and expression of target genes.（来源：PMID 32960220）。",ETO2,decreases,not_specified,PubMed 32960220,decreases_activity
160,mechanistic,unsupported,True,证据间接,复核降级/改写,"证据'N1IC/Ets-1抑制DNMT3B水平'，未直接说明降低promoter活性","文献证据表明，在K562（红系前体细胞）的实验中，因子DNMT3B降低（decreases）promoter活性；机制上，N1IC and Ets-1 suppressed the DNA methyltransferase 3B (DNMT3B) level in K562 cells.（来源：PMID 28220825）。",DNMT3B,decreases,K562,PubMed 28220825,decreases_activity
170,mechanistic,unsupported,True,证据间接,复核降级/改写,"证据'GATA位点突变减少OGT/OGA互作'，未直接说明OGA降低promoter活性","文献证据表明，在未指定细胞系的实验中，因子OGA降低（decreases）promoter活性；机制上，Mutation of the GATA site to GAGA significantly reduces OGT and OGA promoter interactions in β-globin locus yeast artificial chromosome (β-YAC) bone",OGA,decreases,not_specified,PubMed 27231347,decreases_activity
193,mechanistic,unsupported,False,证据不相关,剔除,"证据是脂质积累(NAFLD)，claim说rs2294510增强promoter，两者无关","文献证据表明，在HepG2（肝癌细胞）的实验中，因子rs2294510增强（increases）promoter活性；机制上，Mutant HepG2 cells exhibited increased lipid accumulation, a hallmark of NAFLD.（来源：PMID 38365720）。",rs2294510,increases,HepG2,PubMed 38365720,increases_activity
199,mechanistic,unsupported,True,证据间接,复核降级/改写,"证据'去甲基酶沉默降低BCP-RNA/宿主基因转录本'，未直接说明ALKBH5降低promoter活性","文献证据表明，在HepG2（肝癌细胞）的实验中，因子ALKBH5降低（decreases）promoter活性；机制上，Silencing the demethylase reduced the level of BCP-RNAs and host gene transcripts.（来源：PMID 38227578）。",ALKBH5,decreases,HepG2,PubMed 38227578,decreases_activity
224,mechanistic,unsupported,True,细胞系标错,修正,"证据为SH-SY5Y细胞，claim标成SK-N-SH","文献证据表明，在SK-N-SH（神经母细胞瘤细胞）的实验中，因子O-GlcNAc transferase (OGT)降低（decreases）promoter活性；机制上，Knock-down of O-GlcNAc transferase (OGT) in SH-SY5Y increases ATF4 protein and mRNA expression, suggesting that OG",O-GlcNAc transferase (OGT),decreases,SK-N-SH,PubMed 38192280,decreases_activity
226,mechanistic,unsupported,True,细胞系标错,修正,"证据为小鼠brain组织，claim标成SK-N-SH","文献证据表明，在SK-N-SH（神经母细胞瘤细胞）的实验中，因子ATF4对promoter活性是必需的（required_for）；机制上，ATF4 occupancy increases at the ATF5 promoter site in brains isolated from TMG treated mice suggesting that O-GlcNAc is regulating",ATF4,required_for,SK-N-SH,PubMed 38192280,required_for_activity
236,mechanistic,unsupported,True,方向反,修正,"证据'hypermethylation...reducing'（抑制），claim却写increases，方向颠倒","文献证据表明，在SK-N-SH（神经母细胞瘤细胞）的实验中，因子DNMT1增强（increases）promoter活性；机制上，Activated ERK enhanced DNA methyltransferase 1 (DNMT1)-mediated hypermethylation of FKBP52 promoter, reducing GR-mediated mitochondrial",DNMT1,increases,SK-N-SH,PubMed 36810730,increases_activity
250,mechanistic,unsupported,False,方向反+细胞系错,修正,"敲低NFIB→CDON上调⇒NFIB抑制，claim写required_for；且证据为SH-SY5Y写成SK-N-SH","文献证据表明，在SK-N-SH（神经母细胞瘤细胞）的实验中，因子NFIB对cdon活性是必需的（required_for）；机制上，Silencing NFIB leads to upregulation of CDON in SH-SY5Y cells.（来源：PMID 35151899）。",NFIB,required_for,SK-N-SH,PubMed 35151899,required_for_activity
254,mechanistic,unsupported,True,细胞系标错,修正,"证据为SH-SY5Y细胞，claim标成SK-N-SH","文献证据表明，在SK-N-SH（神经母细胞瘤细胞）的实验中，因子YY1对promoter活性是必需的（required_for）；机制上，YY1 drives the SLC23A2 promoter activity, protein and mRNA expression levels were markedly upregulated in VPA-treated SH-SY5Y cells",YY1,required_for,SK-N-SH,PubMed 36096242,required_for_activity
258,mechanistic,unsupported,True,方向反,修正,"敲低HDAC2→hSVCT2表达↑⇒HDAC2抑制，claim写required_for","文献证据表明，在SK-N-SH（神经母细胞瘤细胞）的实验中，因子HDAC2对promoter活性是必需的（required_for）；机制上，Knockdown of HDAC2 significantly increased hSVCT2 functional expression.（来源：PMID 36096242）。",HDAC2,required_for,SK-N-SH,PubMed 36096242,required_for_activity
272,mechanistic,unsupported,False,Qwen误判-可放行,保留,"证据'Sp3结合GC box参与coronin-1表达'支持必需","文献证据表明，在未指定细胞系的实验中，因子Sp3对promoter活性是必需的（required_for）；机制上，Sp3 transcription factor binds to the GC box 4 most involved in coronin-1 expression.（来源：PMID 41456103）。",SP3,required_for,not_specified,PubMed 41456103,required_for_activity
286,mechanistic,unsupported,False,Qwen误判-可放行,保留,"证据'ERRα depletion→STING转录↑'⇒ERRα存在→抑制","文献证据表明，在未指定细胞系的实验中，因子ERRα降低（decreases）sting gene transcription活性；机制上，ERRα depletion leads to increased STING gene transcription.（来源：PMID 41708589）。",ERRα,decreases,not_specified,PubMed 41708589,decreases_activity
292,mechanistic,unsupported,True,证据间接,复核降级/改写,"证据'上调基因启动子高甲基化'，claim说DNA甲基化降低promoter活性，方向需人工核定","文献证据表明，在未指定细胞系的实验中，因子DNA methylation降低（decreases）promoter活性；机制上，Hypermethylation at promoters of up-regulated genes is observed in C/G fusion-positive acute mega",DNA methylation,decreases,not_specified,PubMed 41141393/28669403,decreases_activity
323,mechanistic,unsupported,True,证据间接,复核降级/改写,"证据'高染色质可及性位点'，未直接说明chromatin accessibility调节promoter活性","文献证据表明，在未指定细胞系的实验中，因子chromatin accessibility调节（modulates）promoter活性（方向依赖上下文）；机制上，ATAC-seq peaks with high chromatin accessibility located in both prom",chromatin accessibility,modulates,not_specified,PubMed 38281519,modulates_activity
